Id;ThemeId;Vocabulary;EnglishDef
1;1;adoring fans;people who love a particular band or singer
2;1;background music;music that is played while something else is happening
3;1;a catchy tune;a song that is easy to remember and makes you want to sing it
4;1;classical music;music that is regarded as part of a long, formal tradition
5;1;to download tracks;to obtain music from the Internet
6;1;to have a great voice;to sing well
7;1;to go on tour;to go on a planned series of performances around a region or country
8;1;a huge following;a large number of fans
9;1;live music;music that is listened to while it is performed (not recorded)
10;1;live performance;(see live music)
11;1;a massive hit;a record that sells lots of copies
12;1;a music festival;music performances at a venue often over several days
13;1;musical talent;skilled at music
14;1;to be/sing out of tune;to not be in harmony/to sing the wrong notes
15;1;a piece of music;an item of music
16;1;to play by ear;to play without reading the musical notes
17;1;a pop group;a small group of people who play or sing pop music together
18;1;to read music;to understand and follow written musical notes
19;1;a rock band;a group of musicians that play rock music
20;1;to sing along to;"To join in singing.To sing a piece of music while someone else is singing or playing it."
21;1;a sing-song;to sing informally, often with other people
22;1;a slow number;a song with a slow tempo
23;1;to take up a musical instrument;to begin learning a musical instrument
24;1;taste in music;the music someone likes
25;1;to be tone deaf;to be unable to distinguish the different notes in music
26;2;boarded up shops;shops that are no longer doing business
27;2;chain stores;well-known brands with shops in multiple cities
28;2;to close down;to stop doing business
29;2;fashionable boutiques;fashionable clothes shops
30;2;to get around;to travel around
31;2;high-rise flats;multi-story apartments
32;2;inner-city;the central part of a city where people live and where condidions are often poor
33;2;in the suburbs;the outer area of large towns and cities where people live
34;2;lively bars/restaurants;bars or restaurants with a good atmosphere
35;2;local facilities;local buildings or services serving the public
36;2;multi-story car parks;car parks on several floors
37;2;office block;a large building that contains offices
38;2;out of town shopping centre/retail park;large shopping centres outside of the town or city
39;2;pavement cafe;cafes with tables outside on the pavement
40;2;places of interest;buildings that have a particular interest for visitors
41;2;poor housing;housing that is not in good condition
42;2;public spaces;areas in a town or city that are open to the public
43;2;public transport system; public vehicles such as buses and trains that operate at regular times on fixed routes
44;2;residential area;an area where people live
45;2;run down;old and of a poor standard
46;2;shopping centre;an area consisting of multiple shops
47;2;shopping malls;large indoor shopping centres
48;2;sprawling city;a city that has grown over time and which covers a wide area
49;2;tourist attraction;a place of interest to tourists
50;2;traffic congestion;heavy traffic making it difficult to move around a town or city
51;2;upmarket shops;expensive fashionable shops
52;3;to bear a striking resemblance;to look very similar to
53;3;cropped hair;very short hair
